pos_words,value
news,27.3718644686921
amoled,11.207457526364633
sharpness,10.587141337783354
implementation,10.528913578555237
intrusive,8.656938760245126
selfies,7.718238133277151
great,7.089944798639861
remote,5.449489737597551
eyes,5.44085238364496
love,5.201949150298841
whatsapp,5.161563436980086
kitkat,4.782703252633121
fits,3.599898646770802
perfect,3.562715942070811
easy,3.496059292176604
pro,3.456113231757824
impressed,3.2852268582189152
windows,3.222468938876117
fast,3.1053040506816325
loves,3.088342572198373
swiping,3.0112363012160888
pleasantly,2.9677497852844894
works,2.8554111941007574
popped,2.831287471054674
price,2.807562635216905
responsiveness,2.784379414782259
amazing,2.77182253663196
excellent,2.6668589462684085
android,2.5310229698132183
mei,2.4912484753632396
stream,2.442254701692282
pair,2.4362583578962003
loaded,2.4135961249874756
meaning,2.309598631055059
feels,2.3092327945222517
arm,2.141596460483454
ability,2.138419553424131
drag,2.1280188891106078
moto,2.1273799429923677
desk,1.9895963971750064
fantastic,1.8965180505322303
section,1.8844326793018298
locations,1.864194624601671
content,1.822774881505815
autofocus,1.7751304012307139
awesome,1.7649829197656637
europe,1.7173166613672175
building,1.7032606395376173
processor,1.6837034239986248
grip,1.6228137492302561
youve,1.6046473593031794
crystal,1.5750542844384146
loving,1.5262965277115814
wonderful,1.4989758173567238
everyday,1.4963564119711963
deep,1.478045463863109
nice,1.437901020195501
handled,1.4216853586948255
outlet,1.3791966038626242
breeze,1.3523679825422914
monster,1.3403672681978158
terms,1.2835227095580888
galaxy,1.274321553719651
running,1.2682196417677765
accessories,1.2663989046415092
freedom,1.236967924994141
idk,1.2174800619817956
listen,1.172116394219276
sharp,1.1472992484107012
suffice,1.1403280573250676
bit,1.134289336006545
happy,1.1073723614085333
trade,1.1069872274921988
drawback,1.098041032567184
frontfacing,1.0918543389565785
display,1.090921343439647
bells,1.073210519790882
surprised,1.0690075537600559
recommend,1.0608317483862435
ways,1.0550634547808804
retail,1.0517354117650233
life,1.042309399869481
siri,1.0416181449108286
easily,1.0400834227740399
beautiful,1.0361905444079387
vendors,1.0356505103556695
smartphone,1.0220820123582328
moderate,1.0185704657061128
areas,1.008922198104865
beauty,0.9712691202415653
perfectly,0.970262555156038
lasts,0.9569877233389156
reading,0.9548706359162075
travelling,0.9518641320878495
high,0.9224360137931736
bigger,0.9181789603136026
mom,0.9079000266244215
palm,0.9001775677567125
basic,0.8959632310675902
portable,0.8888502174427695
solid,0.8851254689135611
barrier,0.867925456160149
tablet,0.864895690015311
deal,0.839755116130696
heavy,0.8354000003241341
enjoy,0.8246602778638091
outstanding,0.8005982391770852
build,0.8000314428475218
showed,0.7913729139606268
reviews,0.779832603190968
size,0.771812143993416
reminder,0.7621325639935483
airtime,0.7606248523753395
ipad,0.758909388810745
friday,0.7555089120394924
smart,0.7432004243061275
witch,0.7373977384664832
arrived,0.7297568957230263
smaller,0.7293266555884348
test,0.7249006477567319
wow,0.7201567993626496
direct,0.7026183388436898
htc,0.695427670435047
heshe,0.6896197692267058
performs,0.6722533617938669
pleased,0.64840142124689
expensive,0.6314570633868296
travel,0.6299214707105166
features,0.6174774826799466
familiar,0.609401727351629
goodso,0.6088259045668369
bright,0.5933153732161816
smooth,0.5824087579459305
earlier,0.5757135781471083
years,0.5699096545661103
anywayim,0.5671419319530637
vast,0.5651712840632331
cancelar,0.5585427711041554
hearing,0.5582646419188428
average,0.5419866964834389
managed,0.5332567625871826
excessive,0.510289415234811
networking,0.5098127479676801
estoy,0.5073529475798796
lumia,0.5071084328630036
androids,0.5059265143266103
otter,0.5040954200269953
complain,0.5022718631297337
glad,0.4972068963300637
fine,0.49503252909183426
speed,0.4879140565881786
technology,0.48418719624713485
hand,0.4721451983132111
nervious,0.4680583588806535
algo,0.46143928764192377
flagship,0.45743051427573433
betterinstead,0.45675920738100373
good,0.43855518488245765
conrol,0.4364972840086813
calendar,0.43096445157450225
media,0.4083479294291535
amazes,0.404313014458336
nexus,0.38941513297632946
needed,0.38769301530282585
xperia,0.3695944918248559
fan,0.3666053256340807
social,0.3588655104108792
hands,0.3489566083837919
loud,0.34347683221109965
rules,0.3279192529959311
reaally,0.3083776629295092
doubles,0.304145754013979
unique,0.30058436479855216
attack,0.2981806516876238
shell,0.293101377897296
worthy,0.29209125148978937
wellgot,0.2892504248399656
nano,0.27011605731559596
fence,0.2587127480216658
anouther,0.25785848323527455
accurateif,0.25740382983541393
hooked,0.2565320999524
downloaded,0.24292112717035835
cantidad,0.23873785382814344
ease,0.23322160254782615
marginal,0.22602643460392172
iphone,0.21533006261354315
tiny,0.20711392205621912
performed,0.2068264346108857
serves,0.20451894968649967
pleasant,0.20366122128220543
agan,0.19930465921687784
radio,0.1913218925097355
upgradeable,0.1912329021264315
saturday,0.18106405097251246
coworker,0.1778868023374065
experiences,0.17710324667962132
lte,0.17602823367617318
beats,0.17177316993909983
term,0.1702335460712485
withe,0.1700302654043259
bevel,0.16708637087517986
problems,0.16347734517713908
moreonly,0.16260307180359246
recibido,0.16241197174332664
board,0.16072684392970626
rating,0.15922281316010262
headaches,0.15335155073736387
circle,0.1490384880636329
condeson,0.14239940779872895
sym,0.141889894796641
lands,0.14124968320446732
bien,0.14010918336358402
things,0.11515154371435225
prices,0.11314680932778083
tripled,0.11154903279243453
highly,0.10832411176901742
added,0.1065178570187452
pixel,0.10535769913982758
upgraded,0.10422716377570233
lightweight,0.09974876109265729
mart,0.0954031778889713
fairly,0.09474198970246255
shots,0.09337637255360065
strong,0.0922713987992534
amused,0.09168363530825754
onoff,0.0894481542980458
aid,0.08941112760300762
reembolsarme,0.08525057802597426
fin,0.0850887132592607
justo,0.08301238782245347
user,0.08177806781315514
duty,0.07907456941875958
recommended,0.07438133499916999
rugged,0.07421780112563817
functions,0.07401498540376368
recorder,0.07112104350887379
phablets,0.06971254146366104
cliff,0.06860897479860883
fresh,0.06828331060784112
argentina,0.06769552834894298
yetpurchased,0.0676126825364318
fasti,0.06603630988701349
asiathanks,0.06178539579006175
phoneits,0.0569571907848271
cam,0.050675105203326236
crackef,0.04925293990681406
smarter,0.047253728328570596
wal,0.039288789652724684
wat,0.03733211187187623
butt,0.03418870777715598
ten,0.03179730186221048
iver,0.030540960949798145
fighting,0.02852521498526241
calculate,0.026953723151347638
girlfriend,0.026883571597001065
considerable,0.023386165969058664
don됛챫,0.022745875867614954
flew,0.021371338646681483
muy,0.02043737580484509
questionim,0.019036877209704317
parked,0.01836855914133585
timer,0.015441527235585046
easey,0.015096067887462025
jus,0.012787848688961838
reimburse,0.012509167584943142
natural,0.012499918426150189
brained,0.01113828673641968
roadtrip,0.0086262144968448
costo,0.007988742926433819
fue,0.007976179633327574
ofertadothe,0.007729065823789641
greg,0.006990605267820583
powerful,0.0068529507222240115
unbelivablebeautiful,0.005900929662436712
transportation,0.005099370327089209
dropoed,0.004989555882406626
reasonsloud,0.0047737121274888375
todo,0.0033102540227992676
papania,0.0026594209772899625
dimentions,0.0023379386696361416
planfastin,0.0015627311400004664
simi,0.001488123593650822
designrecommend,0.0014045182978218596
surgerys,0.001163777731652912
debera,0.0010835104245719384
recommendthe,9.836463376437475e-4
parece,9.088784927285497e-4
tuve,7.288122036452132e-4
everywhete,5.900105274923692e-4
ofertar,4.939972823247659e-4
survivedlots,4.7287439835425667e-4
compatibilityclose,4.3850071778284405e-4
weigth,4.220769689192994e-4
desktopin,3.778694575276937e-4
prodic,1.837671746454755e-4
parte,1.6113806181727454e-4
desbloqueado,1.345951562219701e-4
toygood,1.2002740492938497e-4
dialercompatible,1.673614562899726e-5
desbloqueo,1.145606953381255e-5
